,Stenotrophomonas maltophilia_gapfilled_0,Stenotrophomonas maltophilia_gapfilled_3
522373.3.peg.3897,164.55185676108803,164.55185676108687
522373.3.peg.3784,164.55185676108803,164.55185676108687
522373.3.peg.1666,6.0149327660590376e-12,-1.6400448718008333e-13
522373.3.peg.4105,164.55185676107752,164.55185676108565
522373.3.peg.2911,164.55185676107752,164.55185676108565
522373.3.peg.3436,164.55185676107752,164.55185676108565
522373.3.peg.257,164.55185676107752,164.55185676108565
522373.3.peg.3889,141.04444865234706,141.04444865235914
522373.3.peg.96,164.55185676107612,164.55185676108636
522373.3.peg.402,164.55185676107612,164.55185676108636
522373.3.peg.2303,164.55185676107612,164.55185676108636
522373.3.peg.1232,164.55185676107612,164.55185676108636
522373.3.peg.1616,164.55185676107612,164.55185676108636
522373.3.peg.807,161.73063290593888,161.73063290594806
522373.3.peg.3460,164.55185676107496,164.55185676108636
522373.3.peg.2664,1.1713792724473817e-13,9.257150977259564e-14
522373.3.peg.2051,164.55185676108655,164.5518567610876
522373.3.peg.2479,164.55185676108655,164.5518567610876
522373.3.peg.3733,164.5518567610867,164.551856761087
522373.3.peg.3213,164.55185676108675,164.55185676108732
522373.3.peg.704,164.55185676108675,164.55185676108732
522373.3.peg.3110,-9.711240734436616e-14,-1.1624402934338408e-13
522373.3.peg.927,162.93496419125847,162.93496419125748
522373.3.peg.2610,164.5518567610871,164.5518567610864
522373.3.peg.2573,164.5518567610871,164.5518567610864
522373.3.peg.89,-1.3900037240185754e-14,-2.229680538913777e-14
522373.3.peg.3056,2.7800074480371507e-14,-1.3378083233482663e-13
522373.3.peg.2080,164.55185676108158,164.5518567610882
522373.3.peg.3096,164.55185676108158,164.5518567610882
522373.3.peg.4010,164.55185676108158,164.5518567610882
522373.3.peg.1637,8.07414096070579e-13,-2.6231870367955745e-13
522373.3.peg.3241,164.55185676108647,164.55185676108624
522373.3.peg.493,164.5518567610866,164.55185676108653
522373.3.peg.2088,164.55185676108633,164.5518567610861
522373.3.peg.1719,164.55185676108633,164.5518567610861
522373.3.peg.788,164.55185676108633,164.5518567610861
522373.3.peg.1306,164.55185676108633,164.5518567610861
522373.3.peg.3715,164.55185676108633,164.5518567610861
522373.3.peg.3091,164.55185676108633,164.5518567610861
522373.3.peg.2100,164.55185676108633,164.5518567610861
522373.3.peg.643,-4.9571773125523263e-14,-1.5282640317192075e-14
522373.3.peg.1441,164.5518567610837,164.55185676108786
522373.3.peg.143,164.5518567610837,164.55185676108636
522373.3.peg.3896,164.42838360469048,164.42838360469327
522373.3.peg.1697,164.55185676109454,164.55185676108636
522373.3.peg.3523,164.55185676108616,164.55185676108678
522373.3.peg.3532,141.04444865235956,141.0444486523601
522373.3.peg.846,-1.5072747954443611e-13,1.3323472384601398e-13
522373.3.peg.4098,164.5518567610852,164.55185676108715
522373.3.peg.2021,-5.957624698739945e-14,-1.297584687542529e-13
522373.3.peg.3063,164.55185676108619,164.55185676108715
522373.3.peg.3626,164.55185676108619,164.55185676108715
522373.3.peg.2049,164.55185676108619,164.55185676108715
522373.3.peg.4190,164.55185676108619,164.55185676108715
522373.3.peg.878,-7.39806968028465e-14,-3.4395475706164213e-13
522373.3.peg.400,164.50395984737,164.43216673493703
522373.3.peg.3250,1.014394172038051e-13,9.873478231828328e-14
522373.3.peg.3954,-4.6907714392684925e-14,9.873478231828328e-14
522373.3.peg.3161,-4.6907714392684925e-14,9.873478231828328e-14
522373.3.peg.2943,-4.6907714392684925e-14,9.873478231828328e-14
522373.3.peg.1090,164.5518567610864,164.5518567610864
522373.3.peg.874,-3.5924030872503164e-15,-9.658799840909672e-14
522373.3.peg.4271,164.55185676108277,164.55185676108655
522373.3.peg.3690,1.4336145254812557e-13,4.2641903659239426e-13
522373.3.peg.3687,164.5518567610864,164.55185676108454
522373.3.peg.4332,1.8852462804406e-13,8.483992533040982e-13
522373.3.peg.1030,164.55185676108601,164.55185676108698
522373.3.peg.376,164.55185676109372,164.55185676108653
522373.3.peg.349,164.55185676109372,164.55185676108653
522373.3.peg.3361,164.55185676109372,164.55185676108653
522373.3.peg.863,0.0,0.0
522373.3.peg.3117,164.5518567610454,164.55185676109036
522373.3.peg.886,2.516889357299128e-13,2.5144581266622227e-13
522373.3.peg.1670,164.55185676108687,164.55185676108627
522373.3.peg.3218,5.414381046006215e-13,-7.137345069109859e-13
522373.3.peg.3795,164.55185676108616,164.55185676108692
522373.3.peg.2963,164.55185676108616,164.55185676108692
522373.3.peg.1699,164.55185676108616,164.55185676108692
522373.3.peg.2,-1.2297713454982472e-16,-4.316498429639617e-14
522373.3.peg.2608,164.55185676108562,164.55185676108624
522373.3.peg.3206,164.55185676108562,164.55185676108624
522373.3.peg.1002,-7.935254820047864e-14,9.902286212559266e-14
522373.3.peg.3248,164.55185676108624,164.55185676108565
522373.3.peg.645,164.55185676108624,164.55185676108565
522373.3.peg.2079,164.55185676108624,164.55185676108565
522373.3.peg.2907,164.55185676108624,164.55185676108565
522373.3.peg.59,164.55185676108624,164.55185676108565
522373.3.peg.4164,164.55185676108624,164.55185676108565
522373.3.peg.3282,-1.040921018088769e-12,-1.5541095603205728e-13
522373.3.peg.3575,164.55185676108633,164.55185676108385
522373.3.peg.731,164.55185676108633,164.55185676108385
522373.3.peg.839,164.55185676108633,164.55185676108385
522373.3.peg.3017,164.55185676108633,164.55185676108385
522373.3.peg.1538,164.55185676108633,164.55185676108385
522373.3.peg.3380,164.55185676108633,164.55185676108385
522373.3.peg.1432,3.015818906574472e-13,0.0
522373.3.peg.2743,164.55185676108405,164.55185676108647
522373.3.peg.1677,164.55185676108658,164.55185676108644
522373.3.peg.383,164.55185676108658,164.55185676108644
522373.3.peg.3622,164.55185676108658,164.55185676108644
522373.3.peg.1905,164.55185676108658,164.55185676108644
522373.3.peg.847,1.0961111010288666e-12,-6.245683599296223e-13
522373.3.peg.3685,164.55185676108636,164.55185676108624
522373.3.peg.140,164.55185676108636,164.55185676108624
522373.3.peg.783,164.55185676108636,164.55185676108624
522373.3.peg.4085,164.55185676108636,164.55185676108624
522373.3.peg.1137,164.55185676108636,164.55185676108624
522373.3.peg.3113,141.61747634851778,141.617476348518
522373.3.peg.3885,141.04444865236056,141.0444486523596
522373.3.peg.260,164.55185676108584,164.55185676108624
522373.3.peg.3064,164.55185676108584,164.55185676108624
522373.3.peg.3689,3.7283014851363406e-13,4.207718840935576e-13
522373.3.peg.4034,164.55185676108624,164.55185676108687
522373.3.peg.3895,164.55185676108624,164.55185676108687
522373.3.peg.698,1.2511107167372997e-13,0.0
522373.3.peg.585,164.55185676107752,164.55185676108286
522373.3.peg.1545,164.55185676107752,164.55185676108286
522373.3.peg.4236,164.55185676107752,164.55185676108286
522373.3.peg.3621,164.55185676107752,164.55185676108286
522373.3.peg.3154,164.55185676107752,164.55185676108286
522373.3.peg.545,164.55185676107752,164.55185676108286
522373.3.peg.3164,-6.933232131196111e-14,-2.929625156276431e-13
522373.3.peg.1439,3.466616065598056e-14,1.9346581220693407e-13
522373.3.peg.2732,164.55185676108607,164.5518567610861
