,Achromobacter xylosoxidans_gapfilled_395
85698.28.peg.3970,183.16431873813852
85698.28.peg.213,184.7853637848264
85698.28.peg.61,184.7853637848264
85698.28.peg.641,184.7853637848264
85698.28.peg.1242,184.7853637848264
85698.28.peg.6312,184.7853637848264
85698.28.peg.5768,184.7853637848264
85698.28.peg.3318,184.7853637848264
85698.28.peg.3615,184.7853637848264
85698.28.peg.4421,184.7853637848264
85698.28.peg.764,184.7853637848264
85698.28.peg.371,184.7853637848264
85698.28.peg.3501,181.6699705220603
85698.28.peg.2216,184.7853637848262
85698.28.peg.595,184.7853637848262
85698.28.peg.4667,184.78536378482576
85698.28.peg.461,184.78536378482562
85698.28.peg.3029,184.78536378482562
85698.28.peg.178,184.78536378482562
85698.28.peg.407,164.25365669762311
85698.28.peg.4729,184.78536378482656
85698.28.peg.1387,184.78536378482656
85698.28.peg.2925,184.78536378482656
85698.28.peg.1331,184.78536378482656
85698.28.peg.6019,184.78536378482656
85698.28.peg.1646,184.78536378482656
85698.28.peg.876,184.78536378482858
85698.28.peg.2187,184.78536378482858
85698.28.peg.4650,184.78536378482858
85698.28.peg.5560,184.78536378482858
85698.28.peg.4757,184.78536378482858
85698.28.peg.3918,184.78536378482858
85698.28.peg.1540,184.78536378482858
85698.28.peg.1644,184.78536378482858
85698.28.peg.3508,184.78536378482858
85698.28.peg.193,184.78536378482858
85698.28.peg.4349,184.78536378482858
85698.28.peg.454,184.78536378482858
85698.28.peg.942,184.78536378482858
85698.28.peg.799,184.78536378482858
85698.28.peg.5505,184.78536378482858
85698.28.peg.1554,184.78536378482858
85698.28.peg.4834,184.78536378482858
85698.28.peg.5395,184.78536378482838
85698.28.peg.2263,184.78536378482838
85698.28.peg.1334,184.78536378482838
85698.28.peg.5511,184.78536378482838
85698.28.peg.4894,184.78536378482838
85698.28.peg.789,184.78536378482838
85698.28.peg.4713,184.78536378482838
85698.28.peg.4685,184.78536378482838
85698.28.peg.3116,184.78536378482838
85698.28.peg.2727,184.78536378482838
85698.28.peg.2185,184.78536378482838
85698.28.peg.2658,184.78536378482838
85698.28.peg.117,184.78536378482838
85698.28.peg.1380,184.78536378482838
85698.28.peg.972,184.78536378482838
85698.28.peg.3331,184.78536378482838
85698.28.peg.5475,184.78536378482838
85698.28.peg.6141,184.78536378482838
85698.28.peg.4727,184.78536378482838
85698.28.peg.421,184.78536378482838
85698.28.peg.4910,184.7853637848283
85698.28.peg.1294,184.7853637848283
85698.28.peg.5312,184.7853637848283
85698.28.peg.6180,184.78536378482838
85698.28.peg.3639,184.78536378482838
85698.28.peg.5029,184.78536378482838
85698.28.peg.5361,184.78536378482838
85698.28.peg.650,184.78536378482838
85698.28.peg.214,184.78536378482838
85698.28.peg.247,184.78536378482838
85698.28.peg.5218,184.78536378482838
85698.28.peg.1894,184.78536378482838
85698.28.peg.615,184.78536378482838
85698.28.peg.1163,184.78536378482838
85698.28.peg.1795,184.78536378482838
85698.28.peg.1240,184.78536378482838
85698.28.peg.5633,184.78536378482838
85698.28.peg.2766,184.78536378482838
85698.28.peg.3155,184.78536378482838
85698.28.peg.5538,184.78536378482838
85698.28.peg.2198,184.78536378482838
85698.28.peg.594,184.78536378482838
85698.28.peg.5394,184.78536378482838
85698.28.peg.1767,184.78536378482838
85698.28.peg.2300,184.78536378482838
85698.28.peg.2283,184.78536378482838
85698.28.peg.2390,184.78536378482838
85698.28.peg.3621,184.78536378482838
85698.28.peg.1545,184.78536378482838
85698.28.peg.4118,184.78536378482838
85698.28.peg.3694,184.78536378482838
85698.28.peg.417,184.78536378482838
85698.28.peg.1443,184.78536378482838
85698.28.peg.4440,184.78536378482838
85698.28.peg.2841,184.78536378482838
85698.28.peg.609,184.78536378482838
85698.28.peg.474,184.78536378482838
85698.28.peg.5635,184.78536378482838
85698.28.peg.5722,184.78536378482838
85698.28.peg.6151,184.78536378482838
85698.28.peg.3773,184.78536378482838
85698.28.peg.468,184.78536378482838
85698.28.peg.1271,184.78536378482838
85698.28.peg.5970,184.78536378482838
85698.28.peg.5238,184.78536378482838
85698.28.peg.212,184.78536378482838
85698.28.peg.2363,184.78536378482838
85698.28.peg.522,184.78536378482838
85698.28.peg.5402,184.78536378482838
85698.28.peg.1890,184.78536378482838
85698.28.peg.2202,184.78536378482576
85698.28.peg.1881,184.78536378482576
85698.28.peg.409,164.25365669762328
85698.28.peg.3824,184.78536378482642
85698.28.peg.1539,184.78536378482642
85698.28.peg.5729,184.78536378482642
85698.28.peg.1382,184.78536378482642
85698.28.peg.881,184.78536378482642
85698.28.peg.2269,184.78536378482642
85698.28.peg.1008,184.78536378482642
85698.28.peg.2778,184.78536378482642
85698.28.peg.5470,184.78536378482642
85698.28.peg.2327,184.78536378482642
85698.28.peg.1375,184.78536378482642
85698.28.peg.2602,184.78536378482642
85698.28.peg.2190,184.78536378482642
85698.28.peg.6161,184.78536378482642
