locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
HI0175,,1,365,E,Essential
HI0176,rluD,1,365,E,Essential
HI0177,,1,365,NE,Nonessential
HI0178,,1,365,NE,Nonessential
HI0179,pflA,1,365,E,Essential
HI0181,,1,365,E,Essential
HI0183,,1,365,E,Essential
HI0188,,1,365,E,Essential
HI0190,fur,1,365,NE,Nonessential
HI0192,seqA,1,365,E,Essential
HI0193,,1,365,E,Essential
HI0194,menE,1,365,E,Essential
HI0195.1,,1,365,NE,Nonessential
HI0196,aroC,1,365,E,Essential
HI0198,,1,365,E,Essential
HI0199,msbB,1,365,E,Essential
HI0200,,1,365,NE,Nonessential
HI0201,rplS,1,365,E,Essential
HI0204,rpsP,1,365,E,Essential
HI0205,,1,365,E,Essential
HI0206,,1,365,NE,Nonessential
HI0208,aroB,1,365,E,Essential
HI0209,dam,1,365,E,Essential
HI0212,ribA,1,365,E,Essential
HI0213,,1,365,NE,Nonessential
HI0214,prlC,1,365,NE,Nonessential
HI0215,,1,365,E,Essential
HI0216,hsdS,1,365,NE,Nonessential
HI0217,,1,365,NE,Nonessential
HI0218,,1,365,E,Essential
HI0219,,1,365,NE,Nonessential
HI0220,,1,365,NE,Nonessential
HI0220.1,birA,1,365,E,Essential
HI0221,guaB,1,365,NE,Nonessential
HI0222,guaA,1,365,E,Essential
HI0223,,1,365,E,Essential
HI0224,,1,365,NE,Nonessential
HI0225,nhaA,1,365,NE,Nonessential
HI0226,brnQ,1,365,NE,Nonessential
HI0229,pnp,1,365,NE,Nonessential
HI0230,,1,365,NE,Nonessential
HI0236,,1,365,NE,Nonessential
HI0237,,1,365,E,Essential
HI0238,,1,365,E,Essential
HI0239,secF,1,365,E,Essential
HI0244,tgt,1,365,E,Essential
HI0245,queA,1,365,NE,Nonessential
HI0248,,1,365,NE,Nonessential
HI0249,uvrA,1,365,NE,Nonessential
HI0250,ssb,1,365,NE,Nonessential
HI0251,,1,365,E,Essential
HI0252,exbD,1,365,NE,Nonessential
HI0253,exbB,1,365,NE,Nonessential
HI0254,bcp,1,365,NE,Nonessential
HI0255,dapA,1,365,E,Essential
HI0256,,1,365,NE,Nonessential
HI0257,,1,365,NE,Nonessential
HI0258,,1,365,NE,Nonessential
HI0262,,1,365,NE,Nonessential
HI0263,hxuB,1,365,NE,Nonessential
HI0264,hxuA,1,365,NE,Nonessential
HI0266,,1,365,E,Essential
HI0267,narQ,1,365,NE,Nonessential
HI0269,rpoH,1,365,NE,Nonessential
HI0270,,1,365,NE,Nonessential
HI0271,djlA,1,365,NE,Nonessential
HI0272,pyrE,1,365,NE,Nonessential
HI0273,rph,1,365,NE,Nonessential
HI0274,gltX,1,365,E,Essential
HI0275,,1,365,NE,Nonessential
HI0276,rbn,1,365,E,Essential
HI0277,,1,365,NE,Nonessential
HI0278,,1,365,NE,Nonessential
HI0279,,1,365,E,Essential
HI0280,udp,1,365,NE,Nonessential
HI0281,,1,365,NE,Nonessential
HI0282,,1,365,E,Essential
HI0283,menD,1,365,E,Essential
HI0285,menF,1,365,E,Essential
HI0287,mtr,1,365,NE,Nonessential
HI0288,sdaA,1,365,NE,Nonessential
HI0289,sdaC,1,365,NE,Nonessential
HI0290,,1,365,NE,Nonessential
HI0297,,1,365,E,Essential
HI0299,,1,365,NE,Nonessential
HI0300,ampD,1,365,NE,Nonessential
HI0301,,1,365,NE,Nonessential
HI0302,lnt,1,365,NE,Nonessential
HI0303,,1,365,E,Essential
HI0304,,1,365,NE,Nonessential
HI0305,,1,365,NE,Nonessential
HI0306,rdgC,1,365,E,Essential
HI0308,,1,365,NE,Nonessential
HI0309,xerD,1,365,NE,Nonessential
HI0315,,1,365,NE,Nonessential
HI0316,ntpA,1,365,NE,Nonessential
HI0317,aspS,1,365,NE,Nonessential
HI0318,,1,365,NE,Nonessential
HI0319,yecO,1,365,NE,Nonessential
HI0320,,1,365,NE,Nonessential
HI0322,,1,365,NE,Nonessential
HI0323,gloA,1,365,NE,Nonessential
HI0324,rnt,1,365,NE,Nonessential
HI0325,,1,365,NE,Nonessential
HI0329,,1,365,E,Essential
HI0330,oapA,1,365,NE,Nonessential
HI0331,oapB,1,365,NE,Nonessential
HI0332,recO,1,365,NE,Nonessential
HI0333,rumA,1,365,NE,Nonessential
HI0334,relA,1,365,NE,Nonessential
HI0335,dgkA,1,365,E,Essential
HI0336,mogA,1,365,NE,Nonessential
HI0337,glnB,1,365,E,Essential
HI0338,,1,365,E,Essential
HI0341,,1,365,NE,Nonessential
HI0345,napG,1,365,E,Essential
HI0346,napH,1,365,E,Essential
HI0347,napB,1,365,NE,Nonessential
HI0349,adk,1,365,NE,Nonessential
HI0350,,1,365,NE,Nonessential
HI0351,galE,1,365,NE,Nonessential
HI0352,,1,365,E,Essential
HI0354,,1,365,NE,Nonessential
HI0355,,1,365,E,Essential
HI0357,,1,365,NE,Nonessential
HI0358,,1,365,NE,Nonessential
HI0364,,1,365,NE,Nonessential
HI0365,,1,365,NE,Nonessential
HI0366,,1,365,E,Essential
HI0367,,1,365,E,Essential
HI0370,,1,365,NE,Nonessential
HI0373,hscA,1,365,E,Essential
HI0374,,1,365,NE,Nonessential
HI0375,hscB,1,365,E,Essential
HI0378,nifS,1,365,NE,Nonessential
HI0379,,1,365,NE,Nonessential
HI0380,,1,365,E,Essential
HI0381,pal,1,365,NE,Nonessential
HI0382,tolB,1,365,E,Essential
HI0387,dinG,1,365,E,Essential
HI0391,,1,365,E,Essential
HI0392,,1,365,NE,Nonessential
HI0393,,1,365,NE,Nonessential
HI0394,pth,1,365,E,Essential
HI0396,,1,365,NE,Nonessential
HI0397,xseA,1,365,NE,Nonessential
HI0398,,1,365,NE,Nonessential
HI0399,icc,1,365,E,Essential
HI0400,,1,365,E,Essential
HI0401,fadL,1,365,NE,Nonessential
HI0405,,1,365,E,Essential
HI0406,accA,1,365,E,Essential
HI0409,,1,365,NE,Nonessential
HI0410,tyrR,1,365,NE,Nonessential
HI0412,,1,365,E,Essential
HI0413,rne,1,365,E,Essential
HI0416,thiD,1,365,E,Essential
HI0417,thiE,1,365,E,Essential
HI0418,,1,365,E,Essential
HI0419,,1,365,NE,Nonessential
HI0423,,1,365,E,Essential
HI0429,glmS,1,365,NE,Nonessential
HI0430,,1,365,NE,Nonessential
HI0431,,1,365,NE,Nonessential
HI0432,nudC,1,365,NE,Nonessential
HI0435,comE,1,365,NE,Nonessential
HI0436,comD,1,365,E,Essential
HI0437,comC,1,365,E,Essential
HI0438,comB,1,365,E,Essential
HI0439,comA,1,365,E,Essential
HI0442,ybaB,1,365,NE,Nonessential
HI0443,recR,1,365,NE,Nonessential
HI0444,topB,1,365,NE,Nonessential
HI0445,secG,1,365,NE,Nonessential
HI0446,fruA,1,365,NE,Nonessential
HI0447,fruK,1,365,NE,Nonessential
HI0448,fruB,1,365,NE,Nonessential
HI0449,,1,365,NE,Nonessential
HI0450,vapD,1,365,NE,Nonessential
HI0451,,1,365,NE,Nonessential
HI0452,,1,365,NE,Nonessential
HI0453,,1,365,NE,Nonessential
HI0454,,1,365,NE,Nonessential
HI0455,holB,1,365,E,Essential
HI0456,tmk,1,365,E,Essential
HI0457,,1,365,NE,Nonessential
HI0458,,1,365,E,Essential
HI0459,pyrR,1,365,NE,Nonessential
HI0460,mazG,1,365,E,Essential
HI0461,,1,365,NE,Nonessential
HI0462,lon,1,365,NE,Nonessential
HI0463,,1,365,NE,Nonessential
HI0464,rpiA,1,365,E,Essential
HI0465,serA,1,365,E,Essential
HI0466,,1,365,E,Essential
HI0467,,1,365,E,Essential
HI0468,hisG,1,365,E,Essential
HI0469,hisD,1,365,NE,Nonessential
HI0470,hisC,1,365,E,Essential
HI0471,hisB,1,365,E,Essential
HI0472,hisH,1,365,NE,Nonessential
HI0473,hisA,1,365,E,Essential
HI0474,hisF,1,365,NE,Nonessential
HI0475,hisIE,1,365,NE,Nonessential
HI0477,tyrP,1,365,E,Essential
HI0478,atpC,1,365,NE,Nonessential
HI0479,atpD,1,365,NE,Nonessential
HI0480,atpG,1,365,NE,Nonessential
HI0481,atpA,1,365,NE,Nonessential
HI0482,atpH,1,365,NE,Nonessential
HI0483,atpF,1,365,NE,Nonessential
HI0485,atpB,1,365,NE,Nonessential
HI0486,gidB,1,365,NE,Nonessential
HI0487,,1,365,NE,Nonessential
HI0488,,1,365,NE,Nonessential
HI0489,,1,365,NE,Nonessential
HI0490,,1,365,NE,Nonessential
HI0491,luxS,1,365,NE,Nonessential
HI0494,,1,365,NE,Nonessential
HI0496,hslV,1,365,NE,Nonessential
HI0497,hslU,1,365,NE,Nonessential
HI0498,potD,1,365,E,Essential
HI0499,,1,365,NE,Nonessential
HI0500,,1,365,NE,Nonessential
HI0501,rbsD,1,365,NE,Nonessential
HI0502,rbsA,1,365,NE,Nonessential
HI0503,rbsC,1,365,NE,Nonessential
HI0504,rbsB,1,365,NE,Nonessential
HI0505,rbsK,1,365,NE,Nonessential
HI0506,rbsR,1,365,NE,Nonessential
HI0508,menG,1,365,NE,Nonessential
HI0509,menA,1,365,NE,Nonessential
HI0510,,1,365,E,Essential
HI0511,,1,365,NE,Nonessential
HI0513,hindIIM,1,365,NE,Nonessential
HI0514,rpoC,1,365,NE,Nonessential
HI0515,rpoB,1,365,E,Essential
HI0517,rplK,1,365,E,Essential
HI0518,deoD,1,365,NE,Nonessential
HI0519,,1,365,NE,Nonessential
HI0521,,1,365,NE,Nonessential
HI0522,,1,365,E,Essential
HI0523,,1,365,NE,Nonessential
HI0524,fba,1,365,NE,Nonessential
HI0525,pgk,1,365,E,Essential
HI0526,,1,365,NE,Nonessential
HI0527,fdx-2,1,365,NE,Nonessential
HI0528,tyrP,1,365,NE,Nonessential
HI0529,tdk,1,365,NE,Nonessential
HI0530,gcp,1,365,NE,Nonessential
HI0532,dnaG,1,365,E,Essential
HI0533,rpoD,1,365,E,Essential
HI0534,aspA,1,365,E,Essential
HI0535,ureH,1,365,NE,Nonessential
HI0536,ureG,1,365,NE,Nonessential
HI0537,ureF,1,365,NE,Nonessential
HI0538,ureE,1,365,NE,Nonessential
HI0539,ureC,1,365,NE,Nonessential
HI0540,ureB,1,365,NE,Nonessential
HI0541,ureA,1,365,NE,Nonessential
HI0542,groES,1,365,NE,Nonessential
HI0543,groEL,1,365,NE,Nonessential
HI0544,rplI,1,365,NE,Nonessential
HI0545,rpsR,1,365,E,Essential
HI0546,,1,365,E,Essential
HI0547,rpsF,1,365,E,Essential
HI0548,infA,1,365,E,Essential
HI0549,ksgA,1,365,E,Essential
HI0550,,1,365,NE,Nonessential
HI0551,apaH,1,365,NE,Nonessential
HI0552,,1,365,NE,Nonessential
HI0553,gnd,1,365,NE,Nonessential
HI0554,,1,365,NE,Nonessential
HI0555,,1,365,NE,Nonessential
HI0556,devB,1,365,NE,Nonessential
HI0557,,1,365,NE,Nonessential
HI0558,zwf,1,365,NE,Nonessential
HI0559,cysQ,1,365,NE,Nonessential
HI0561,,1,365,E,Essential
HI0562,,1,365,NE,Nonessential
HI0563,asnC,1,365,NE,Nonessential
HI0564,asnA,1,365,E,Essential
HI0565,gph,1,365,NE,Nonessential
HI0566,dod,1,365,E,Essential
HI0567,gyrB,1,365,E,Essential
HI0568,tex,1,365,E,Essential
HI0569,greB,1,365,E,Essential
HI0570,,1,365,E,Essential
HI0571,oxyR,1,365,NE,Nonessential
HI0572,,1,365,NE,Nonessential
HI0573,slyX,1,365,E,Essential
HI0574,fkpA,1,365,NE,Nonessential
HI0575,,1,365,E,Essential
HI0576,,1,365,E,Essential
HI0576.1,,1,365,E,Essential
HI0577,,1,365,NE,Nonessential
HI0578,tuf,1,365,NE,Nonessential
HI0579,fusA,1,365,E,Essential
HI0580,rpS7,1,365,E,Essential
HI0581,rpsL,1,365,E,Essential
HI0582,gidA,1,365,NE,Nonessential
HI0583,cpdB,1,365,E,Essential
HI0584,,1,365,NE,Nonessential
HI0585,,1,365,NE,Nonessential
HI0586,,1,365,NE,Nonessential
HI0588,,1,365,NE,Nonessential
HI0589,,1,365,NE,Nonessential
HI0590,potE,1,365,NE,Nonessential
HI0591,speF,1,365,NE,Nonessential
HI0592,,1,365,NE,Nonessential
HI0593,,1,365,NE,Nonessential
HI0594,,1,365,NE,Nonessential
HI0595,arcC,1,365,NE,Nonessential
HI0596,arcB,1,365,NE,Nonessential
HI0597,,1,365,NE,Nonessential
HI0598,,1,365,NE,Nonessential
HI0599,recX,1,365,E,Essential
HI0600,recA,1,365,NE,Nonessential
HI0601,tfoX,1,365,NE,Nonessential
HI0605,gpsA,1,365,E,Essential
HI0606,cysE,1,365,E,Essential
HI0609,folD,1,365,NE,Nonessential
HI0610,fucP,1,365,NE,Nonessential
HI0613,fucK,1,365,E,Essential
HI0614,fucI,1,365,E,Essential
HI0615,fucR,1,365,E,Essential
HI0616,hepA,1,365,NE,Nonessential
HI0617,,1,365,E,Essential
HI0618,,1,365,E,Essential
HI0619,glpR,1,365,NE,Nonessential
HI0620,hlpA,1,365,NE,Nonessential
HI0621,metN,1,365,NE,Nonessential
HI0623,fmt,1,365,NE,Nonessential
HI0624,sun,1,365,NE,Nonessential
HI0625,trkA,1,365,E,Essential
HI0626,mscL,1,365,NE,Nonessential
HI0628,rpoE,1,365,NE,Nonessential
HI0630,rseB,1,365,NE,Nonessential
HI0632,tuf,1,365,NE,Nonessential
HI0633,,1,365,E,Essential
HI0635,,1,365,NE,Nonessential
HI0636,,1,365,NE,Nonessential
HI0641,rplL,1,365,NE,Nonessential
HI0648,mdaB,1,365,NE,Nonessential
HI0650,,1,365,E,Essential
HI0651,coaD,1,365,E,Essential
HI0652,kdtA,1,365,E,Essential
HI0653,,1,365,NE,Nonessential
HI0654,tagI,1,365,E,Essential
HI0655,aroE,1,365,E,Essential
HI0656,,1,365,E,Essential
HI0658,,1,365,NE,Nonessential
HI0659,,1,365,NE,Nonessential
HI0661,oapA,1,365,NE,Nonessential
HI0664,,1,365,E,Essential
HI0666,,1,365,NE,Nonessential
HI0667,glpX,1,365,E,Essential
HI0673,ftsB,1,365,NE,Nonessential
HI0674,gptA,1,365,E,Essential
HI0675,pepD,1,365,E,Essential
HI0677,,1,365,E,Essential
HI0678,tpiA,1,365,E,Essential
HI0679,glpE,1,365,E,Essential
HI0680,,1,365,E,Essential
HI0681,ilvY,1,365,E,Essential
HI0682,ilvC,1,365,NE,Nonessential
HI0683,glpC,1,365,NE,Nonessential
HI0684,glpB,1,365,E,Essential
HI0687,,1,365,E,Essential
HI0688,,1,365,E,Essential
HI0690,glpF,1,365,NE,Nonessential
HI0691,glpK,1,365,NE,Nonessential
HI0692,gptB,1,365,NE,Nonessential
HI0693,hel,1,365,NE,Nonessential
HI0698,,1,365,E,Essential
HI0699,slyD,1,365,NE,Nonessential
HI0700,,1,365,NE,Nonessential
HI0712,,1,365,NE,Nonessential
HI0713,tig,1,365,NE,Nonessential
HI0714,clpP,1,365,E,Essential
HI0719,,1,365,NE,Nonessential
HI0720,htpX,1,365,NE,Nonessential
HI0723,trkH,1,365,E,Essential
HI0724,,1,365,NE,Nonessential
HI0725,,1,365,NE,Nonessential
HI0726,narP,1,365,E,Essential
HI0727.1,cyaY,1,365,E,Essential
HI0728,recQ,1,365,E,Essential
HI0729,proS,1,365,E,Essential
HI0734,plsC,1,365,E,Essential
HI0736,,1,365,NE,Nonessential
HI0737,,1,365,NE,Nonessential
HI0738,ilvD,1,365,NE,Nonessential
HI0738.1,ilvA,1,365,NE,Nonessential
HI0739,dnaE,1,365,E,Essential
HI0743,secB,1,365,NE,Nonessential
HI0744,,1,365,NE,Nonessential
HI0750,dapF,1,365,E,Essential
HI0751,tpx,1,365,NE,Nonessential
HI0758,rpmE,1,365,E,Essential
HI0759,mutY,1,365,NE,Nonessential
HI0761,mltC,1,365,NE,Nonessential
HI0762,,1,365,E,Essential
HI0763,nadR,1,365,E,Essential
HI0766,yibK,1,365,NE,Nonessential
HI0767,,1,365,E,Essential
HI0768,ftsY,1,365,E,Essential
HI0769,ftsE,1,365,E,Essential
HI0770,ftsX,1,365,E,Essential
HI0772,atoE,1,365,E,Essential
HI0773,atoA,1,365,E,Essential
HI0774,,1,365,E,Essential
HI0775,,1,365,NE,Nonessential
HI0779,rplW,1,365,E,Essential
HI0780,rplB,1,365,E,Essential
HI0781,rpsS,1,365,E,Essential
HI0782,rplV,1,365,E,Essential
HI0784,rplP,1,365,E,Essential
HI0785,rpmC,1,365,E,Essential
HI0792,rpsH,1,365,E,Essential
HI0793,rplF,1,365,E,Essential
HI0794,rplR,1,365,E,Essential
HI0795,rpsE,1,365,E,Essential
HI0799,rpsM,1,365,E,Essential
HI0800,rpS11,1,365,E,Essential
HI0801,rpsD,1,365,E,Essential
HI0803,rplQ,1,365,E,Essential
HI0806,,1,365,E,Essential
HI0808,frr,1,365,E,Essential
HI0809,pckA,1,365,NE,Nonessential
HI0811,argH,1,365,E,Essential
HI0812,galU,1,365,NE,Nonessential
HI0814,alaS,1,365,E,Essential
HI0816,pepP,1,365,E,Essential
HI0820,galT,1,365,E,Essential
HI0821,galR,1,365,E,Essential
HI0822,mglB,1,365,NE,Nonessential
HI0823,mglA,1,365,NE,Nonessential
HI0824,mglC,1,365,NE,Nonessential
HI0825,,1,365,E,Essential
HI0826,,1,365,E,Essential
HI0829,,1,365,E,Essential
HI0830,trpR,1,365,E,Essential
HI0832,frdD,1,365,E,Essential
HI0833,frdC,1,365,NE,Nonessential
HI0834,frdB,1,365,NE,Nonessential
HI0835,frdA,1,365,NE,Nonessential
HI0836,genX,1,365,E,Essential
HI0837,cpxR,1,365,NE,Nonessential
HI0846,por,1,365,NE,Nonessential
HI0847,,1,365,NE,Nonessential
HI0848,trmA,1,365,NE,Nonessential
HI0849,,1,365,E,Essential
HI0850,,1,365,NE,Nonessential
HI0851,mobB,1,365,E,Essential
HI0853,dppA,1,365,NE,Nonessential
HI0854,,1,365,NE,Nonessential
HI0855,,1,365,E,Essential
HI0856,polA,1,365,NE,Nonessential
HI0857,,1,365,NE,Nonessential
HI0858,,1,365,E,Essential
HI0860,,1,365,NE,Nonessential
HI0861,vacB,1,365,NE,Nonessential
HI0862,,1,365,NE,Nonessential
HI0864,,1,365,NE,Nonessential
HI0865,glnA,1,365,E,Essential
HI0867,,1,365,E,Essential
HI0868,,1,365,E,Essential
HI0869,,1,365,E,Essential
HI0870,,1,365,E,Essential
HI0872,wbaP,1,365,NE,Nonessential
HI0873,rffG,1,365,E,Essential
HI0878,,1,365,NE,Nonessential
HI0882,,1,365,NE,Nonessential
HI0883,,1,365,NE,Nonessential
HI0884,arcA,1,365,NE,Nonessential
HI0885,dipZ,1,365,NE,Nonessential
HI0886,,1,365,NE,Nonessential
HI0890,,1,365,NE,Nonessential
HI0892,rhlB,1,365,E,Essential
HI0893,,1,365,NE,Nonessential
HI0895,acrB,1,365,NE,Nonessential
HI0896,ftsN,1,365,NE,Nonessential
HI0897,emrB,1,365,E,Essential
HI0898,emrA,1,365,NE,Nonessential
HI0899,folA,1,365,E,Essential
HI0900,proB,1,365,NE,Nonessential
HI0901,,1,365,E,Essential
HI0902,,1,365,NE,Nonessential
HI0903,,1,365,NE,Nonessential
HI0904,lgt,1,365,E,Essential
HI0905,thyA,1,365,NE,Nonessential
HI0906,,1,365,E,Essential
HI0907,,1,365,E,Essential
HI0908,,1,365,NE,Nonessential
HI0910,mutT,1,365,NE,Nonessential
HI0911,kefC,1,365,E,Essential
HI0917,,1,365,NE,Nonessential
HI0919,cdsA,1,365,NE,Nonessential
HI0920,,1,365,NE,Nonessential
HI0921,leuS,1,365,E,Essential
HI0922,,1,365,E,Essential
HI0923,holA,1,365,E,Essential
HI0924,glyS,1,365,E,Essential
HI0929,,1,365,NE,Nonessential
HI0930,,1,365,NE,Nonessential
HI0932,eno,1,365,NE,Nonessential
HI0933,,1,365,E,Essential
HI0973,,1,365,NE,Nonessential
HI0976,,1,365,E,Essential
HI0979,,1,365,NE,Nonessential
HI0980,fis,1,365,NE,Nonessential
HI0981,smpB,1,365,E,Essential
HI0988,leuC,1,365,E,Essential
HI0989,leuD,1,365,E,Essential
HI0990,iga1,1,365,NE,Nonessential
HI0992,dnaN,1,365,E,Essential
HI0993,dnaA,1,365,E,Essential
HI0994,tbp1,1,365,E,Essential
HI0996,,1,365,E,Essential
HI0998,rpmH,1,365,E,Essential
HI1001,yidC,1,365,E,Essential
HI1002,trmE,1,365,E,Essential
HI1004,,1,365,NE,Nonessential
HI1005,,1,365,NE,Nonessential
HI1006,lspA,1,365,E,Essential
HI1007,ispH,1,365,E,Essential
HI1008,,1,365,E,Essential
HI1011,,1,365,E,Essential
HI1012,,1,365,NE,Nonessential
HI1013,,1,365,E,Essential
HI1016,,1,365,E,Essential
HI1017,,1,365,E,Essential
HI1019,tbpA,1,365,NE,Nonessential
HI1020,thiP,1,365,E,Essential
HI1021,,1,365,E,Essential
HI1023,tktA,1,365,E,Essential
HI1024,ulaD,1,365,NE,Nonessential
HI1025,sgbE,1,365,NE,Nonessential
HI1026,,1,365,NE,Nonessential
HI1027,lyx,1,365,E,Essential
HI1028,,1,365,E,Essential
HI1029,,1,365,E,Essential
HI1030,,1,365,E,Essential
HI1031,,1,365,E,Essential
HI1032,,1,365,NE,Nonessential
HI1034,,1,365,NE,Nonessential
HI1035,corA,1,365,NE,Nonessential
HI1036,,1,365,NE,Nonessential
HI1040,ureF,1,365,NE,Nonessential
HI1043,napF,1,365,E,Essential
HI1044,,1,365,E,Essential
HI1045,dmsC,1,365,E,Essential
HI1046,dmsB,1,365,E,Essential
HI1047,dmsA,1,365,E,Essential
HI1049,merT,1,365,E,Essential
HI1051,,1,365,NE,Nonessential
HI1054,,1,365,E,Essential
HI1056,,1,365,NE,Nonessential
HI1058,,1,365,NE,Nonessential
HI1060,lpxB,1,365,NE,Nonessential
HI1061,lpxA,1,365,NE,Nonessential
HI1064,,1,365,NE,Nonessential
HI1065,pyrH,1,365,E,Essential
HI1066,nrfD,1,365,NE,Nonessential
HI1067,nrfC,1,365,NE,Nonessential
HI1068,nrfB,1,365,E,Essential
HI1070,hrpa,1,365,NE,Nonessential
HI1076,cydA,1,365,E,Essential
HI1077,pyrG,1,365,E,Essential
HI1078,,1,365,NE,Nonessential
HI1079,,1,365,NE,Nonessential
HI1080,,1,365,NE,Nonessential
HI1084,,1,365,NE,Nonessential
HI1085,,1,365,NE,Nonessential
HI1086,,1,365,E,Essential
HI1090,ccmB,1,365,NE,Nonessential
HI1091,ccmC,1,365,NE,Nonessential
HI1093,ccmE,1,365,E,Essential
HI1100,ligA,1,365,E,Essential
HI1101,,1,365,E,Essential
HI1102,cysZ,1,365,E,Essential
HI1103,cysK,1,365,NE,Nonessential
HI1105,rfaF,1,365,E,Essential
HI1106,xylR,1,365,NE,Nonessential
HI1107,nhaC,1,365,E,Essential
HI1109,xylH,1,365,NE,Nonessential
HI1110,xylG,1,365,NE,Nonessential
HI1111,xylF,1,365,NE,Nonessential
HI1112,xylA,1,365,NE,Nonessential
HI1113,,1,365,NE,Nonessential
HI1114,rfaD,1,365,NE,Nonessential
HI1118,engB,1,365,E,Essential
HI1119,lapB,1,365,E,Essential
HI1123,oppB,1,365,NE,Nonessential
HI1124,oppA,1,365,NE,Nonessential
HI1125,talB,1,365,NE,Nonessential
HI1127,,1,365,E,Essential
HI1129,,1,365,NE,Nonessential
HI1130,mraW,1,365,NE,Nonessential
HI1131,ftsL,1,365,E,Essential
HI1137,ftsW,1,365,NE,Nonessential
HI1139,murC,1,365,E,Essential
HI1142,ftsA,1,365,E,Essential
HI1147,ptsN,1,365,E,Essential
HI1148,,1,365,NE,Nonessential
HI1151,,1,365,E,Essential
HI1152,pmbA,1,365,E,Essential
HI1153,hpt,1,365,NE,Nonessential
HI1154,,1,365,NE,Nonessential
HI1156,cydC,1,365,NE,Nonessential
HI1158,trxB,1,365,NE,Nonessential
HI1159,,1,365,NE,Nonessential
HI1160,hemH,1,365,E,Essential
HI1161,,1,365,E,Essential
