,mean fractional importance,mean fractional ratio,number of reactions,name
cpd00434_c,0.00025412528064307633,0.15449878675685128,16,metabolite missing from universal
cpd00065_c,0.019884221081832153,0.15560500188287957,5,metabolite missing from universal
cpd02210_c,0.019884221081832153,0.15560500188287957,5,metabolite missing from universal
cpd01709_c,0.003957787667608926,0.16325336284936867,8,metabolite missing from universal
cpd00481_c,0.0005785088486366376,0.16756455457071626,11,metabolite missing from universal
cpd01741_c,0.00010067937417154686,0.1689889963767608,7,metabolite missing from universal
cpd11468_c,0.00010067937417154686,0.1689889963767608,7,metabolite missing from universal
cpd11493_c,0.00010067937417154686,0.1689889963767608,7,metabolite missing from universal
cpd00703_c,0.0005652718996887013,0.16932581234617963,18,metabolite missing from universal
cpd22713_c,0.0005652718996887013,0.16932581234617963,18,metabolite missing from universal
cpd03389_c,0.03784967701850764,0.16963691468451042,18,metabolite missing from universal
cpd00909_c,0.02129924536064105,0.17747529401612247,20,metabolite missing from universal
cpd00324_c,0.002083139909362167,0.18322334703075172,12,metabolite missing from universal
cpd01973_c,8.62764639830976e-05,0.1840490797546012,3,metabolite missing from universal
cpd00111_c,0.00011249450336754084,0.1843849034860271,3,metabolite missing from universal
cpd00193_c,0.00011249450336754084,0.1843849034860271,3,metabolite missing from universal
cpd15238_c,0.0011469582148653228,0.1873906153193987,7,metabolite missing from universal
cpd00461_c,2.3123869880946465e-05,0.18752060666007253,6,metabolite missing from universal
cpd02258_c,2.3123869880946465e-05,0.18752060666007253,6,metabolite missing from universal
cpd15494_c,0.00023811384155817433,0.19673295454545453,4,metabolite missing from universal
cpd03397_c,0.0373833454719508,0.20039429527511893,20,metabolite missing from universal
cpd03398_c,0.0373833454719508,0.20039429527511893,20,metabolite missing from universal
cpd00442_c,0.00016253175100972145,0.20118137720303936,8,metabolite missing from universal
cpd00285_c,0.0002059182155276382,0.209413913897763,6,metabolite missing from universal
cpd02415_c,0.0002059182155276382,0.209413913897763,6,metabolite missing from universal
cpd00284_c,8.171483099567381e-06,0.2096888260254597,2,metabolite missing from universal
cpd02187_c,0.0010716524736522973,0.21899641577060933,3,metabolite missing from universal
cpd00279_c,0.00305607613940577,0.22212770896531406,67,metabolite missing from universal
cpd00465_c,0.007079429165347043,0.22235509728227248,16,metabolite missing from universal
cpd00047_e,0.00037310232460940115,0.23513740380944873,17,metabolite missing from universal
cpd14796_c,0.002821359548478955,0.2364180318640392,5,metabolite missing from universal
cpd00120_c,0.0003740933414825217,0.24229793403407035,5,metabolite missing from universal
cpd00023_e,0.00028644148202522666,0.24353978012042193,23,metabolite missing from universal
cpd15348_c,0.0019779175952059766,0.24705498690898603,4,metabolite missing from universal
cpd15540_c,0.0019779175952059766,0.24705498690898603,4,metabolite missing from universal
cpd00443_c,0.0005141450011439768,0.24778409020275727,4,metabolite missing from universal
cpd00197_c,0.002756135216682631,0.25030715442744633,32,metabolite missing from universal
cpd00456_c,0.002756135216682631,0.25030715442744633,32,metabolite missing from universal
cpd00191_c,0.013404498885519313,0.25068294761516924,43,metabolite missing from universal
cpd00745_c,0.013404498885519313,0.25068294761516924,43,metabolite missing from universal
cpd03315_c,0.001793044031155827,0.2519889730693621,6,metabolite missing from universal
cpd00158_c,0.00011962518113944384,0.2521303363851111,3,metabolite missing from universal
cpd00428_c,3.263848236248588e-05,0.2526881720430108,2,metabolite missing from universal
cpd00092_c,0.0003002205947446759,0.25616408122030543,8,metabolite missing from universal
cpd00307_c,0.0003002205947446759,0.25616408122030543,8,metabolite missing from universal
cpd00430_c,0.005935167114962271,0.2574392285222475,18,metabolite missing from universal
cpd08625_c,0.00028787459681329163,0.2579683558816785,2,metabolite missing from universal
cpd01844_c,0.00020590204874083385,0.2611711629764492,11,metabolite missing from universal
cpd01716_c,0.005693354372170539,0.2626325332289674,10,metabolite missing from universal
cpd11665_c,0.0002967535813717252,0.2641107561235357,3,metabolite missing from universal
cpd11669_c,0.0002967535813717252,0.2641107561235357,3,metabolite missing from universal
cpd00196_c,0.03131702587680222,0.2641543184817108,22,metabolite missing from universal
cpd00086_c,0.010912950371157583,0.26630096068147435,72,metabolite missing from universal
cpd00663_c,0.010912950371157583,0.26630096068147435,72,metabolite missing from universal
cpd03752_c,0.001120654173564042,0.26972631530375474,5,metabolite missing from universal
cpd01501_c,0.04477136344321734,0.27062990652508484,13,metabolite missing from universal
cpd00706_c,0.0007823433639693125,0.2714359434296057,9,metabolite missing from universal
cpd09077_c,0.00018599168548569898,0.27528049611069294,12,metabolite missing from universal
cpd00347_c,0.002064439309075631,0.276624997015068,4,metabolite missing from universal
cpd00502_c,0.002064439309075631,0.276624997015068,4,metabolite missing from universal
cpd06588_c,0.00040703292008170303,0.27937592042193193,18,metabolite missing from universal
cpd16292_c,0.00040703292008170303,0.27937592042193193,18,metabolite missing from universal
cpd00098_c,3.001829693469371e-05,0.28011628639275093,3,metabolite missing from universal
cpd00447_c,3.001829693469371e-05,0.28011628639275093,3,metabolite missing from universal
cpd01647_c,0.0063723616001762256,0.2805232970115637,14,metabolite missing from universal
cpd14795_c,0.0063723616001762256,0.2805232970115637,14,metabolite missing from universal
cpd00128_c,0.0014786166125443049,0.2808837910083684,25,metabolite missing from universal
cpd00226_c,0.0014786166125443049,0.2808837910083684,25,metabolite missing from universal
cpd00161_c,0.02313474939420098,0.28219138166663366,25,metabolite missing from universal
cpd19035_c,0.0005784898392672189,0.2827394763896207,11,metabolite missing from universal
cpd00795_c,0.00028462408513835874,0.2834870629075242,7,metabolite missing from universal
cpd00180_c,0.0007817895731774438,0.2847295603083566,17,metabolite missing from universal
cpd00223_c,0.0010054312413713966,0.2870385191899181,21,metabolite missing from universal
cpd00033_c,0.021948788929463062,0.2894669428993358,54,metabolite missing from universal
cpd00482_c,0.0008334859152221612,0.29021800259403363,5,metabolite missing from universal
cpd00077_c,0.0010602706573867595,0.2919544776963431,25,metabolite missing from universal
cpd00518_c,0.0010602706573867595,0.2919544776963431,25,metabolite missing from universal
cpd19001_c,0.00015564827933478876,0.2933998259969447,14,metabolite missing from universal
cpd00388_c,0.01843137806960712,0.29377843451041874,10,metabolite missing from universal
cpd00199_c,0.0015833841139489904,0.2937985219605515,31,metabolite missing from universal
cpd00296_c,0.0198465393705434,0.29398506647305883,14,metabolite missing from universal
cpd00056_c,0.0028480678864211393,0.29465866501115173,3,metabolite missing from universal
cpd03049_c,0.0028480678864211393,0.29465866501115173,3,metabolite missing from universal
cpd00245_c,0.0001955925522373844,0.29712460063897755,4,metabolite missing from universal
cpd02394_c,0.01627190199328729,0.29811465973734413,10,metabolite missing from universal
cpd02678_c,0.01627190199328729,0.29811465973734413,10,metabolite missing from universal
cpd00300_c,0.02051853243034233,0.2983129581802792,15,metabolite missing from universal
cpd01092_c,0.02051853243034233,0.2983129581802792,15,metabolite missing from universal
cpd00133_c,0.00031225884095541586,0.29947468262075005,5,metabolite missing from universal
cpd00218_c,0.00031225884095541586,0.29947468262075005,5,metabolite missing from universal
cpd11712_c,0.00043169863299722576,0.2999294775173756,27,metabolite missing from universal
cpd12508_c,0.00043169863299722576,0.2999294775173756,27,metabolite missing from universal
cpd00080_c,0.006826427013389779,0.3040327126332146,24,metabolite missing from universal
cpd00094_c,0.012365472805813519,0.3060234974465597,110,metabolite missing from universal
cpd00290_c,0.0005854694637616209,0.30678307177388514,15,metabolite missing from universal
cpd00802_c,0.0005854694637616209,0.30678307177388514,15,metabolite missing from universal
cpd00071_c,0.016628282512421683,0.30909714688351936,38,metabolite missing from universal
cpd00129_c,0.0017409631392508943,0.31297852987869723,17,metabolite missing from universal
cpd00567_c,0.0017409631392508943,0.31297852987869723,17,metabolite missing from universal
cpd00119_c,0.018891220899898854,0.31654212258839787,25,metabolite missing from universal
cpd00119_e,0.018891220899898854,0.31654212258839787,25,metabolite missing from universal
cpd01560_c,0.045640095011754776,0.31847680338747597,7,metabolite missing from universal
cpd03828_c,0.0009374532044410164,0.3193782318747548,8,metabolite missing from universal
cpd02069_c,0.00333886847516606,0.3228402858947839,10,metabolite missing from universal
cpd02371_c,0.0013378647688154952,0.3239495798319328,1,metabolite missing from universal
cpd01329_c,0.000552361705887731,0.3275637306478055,16,metabolite missing from universal
cpd15495_c,0.000552361705887731,0.3275637306478055,16,metabolite missing from universal
cpd02503_c,0.001263924548068915,0.328494623655914,2,metabolite missing from universal
cpd00294_c,0.003671252074278755,0.33135310068042,4,metabolite missing from universal
cpd00438_c,0.003671252074278755,0.33135310068042,4,metabolite missing from universal
cpd00475_c,0.006096945973409553,0.33443014894284145,11,metabolite missing from universal
cpd01217_c,0.006096945973409553,0.33443014894284145,11,metabolite missing from universal
cpd00080_e,0.0013685290413842275,0.3361254526472057,4,metabolite missing from universal
cpd00477_c,0.004070271694826718,0.33651382013167846,17,metabolite missing from universal
cpd02552_c,0.004070271694826718,0.33651382013167846,17,metabolite missing from universal
cpd00047_c,0.005669628770299115,0.34111031865197,166,metabolite missing from universal
cpd00426_c,0.005827723583388619,0.3418074371411351,43,metabolite missing from universal
cpd03480_c,0.005827723583388619,0.3418074371411351,43,metabolite missing from universal
cpd03200_c,0.0008475546081991803,0.3475559163059163,3,metabolite missing from universal
cpd00770_c,0.02137478156338825,0.34810000804143604,12,metabolite missing from universal
cpd00327_c,0.008844311214698634,0.34831982959007496,63,metabolite missing from universal
cpd15329_c,0.008844311214698634,0.34831982959007496,63,metabolite missing from universal
cpd15526_c,0.008844311214698634,0.34831982959007496,63,metabolite missing from universal
cpd00083_c,0.002639712895839371,0.3553458493246562,4,metabolite missing from universal
cpd00315_c,0.002639712895839371,0.3553458493246562,4,metabolite missing from universal
cpd21873_c,0.0006060159101805528,0.3570878867169463,4,metabolite missing from universal
cpd00107_c,0.0003468200872406189,0.35860143418056056,6,metabolite missing from universal
cpd00039_c,0.006952470298219095,0.3587390552032545,46,metabolite missing from universal
cpd00840_c,0.006952470298219095,0.3587390552032545,46,metabolite missing from universal
