,Stenotrophomonas maltophilia_gapfilled_0,Stenotrophomonas maltophilia_gapfilled_3
rxn02261_c,141.0444486523782,141.0444486523597
EX_cpd00027_e,164.55185676109667,164.55185676108536
EX_cpd00179_e,164.55185676109667,164.55185676108505
rxn09177_c,164.55185676109667,164.55185676108505
rxn01739_c,-8.601548712413487e-14,-2.498799472096587e-13
rxn05417_c,164.55185676108405,164.5518567610864
rxn11715_c,164.55185676108405,164.55185676108627
rxn02811_c,164.55185676108405,164.55185676108627
rxn00416_c,-1.0934154447695447e-13,-1.307035236669983e-13
rxn07434_c,164.55185676108633,164.55185676108587
rxn00060_c,164.55185676108633,164.55185676108587
rxn01387_c,164.55185676108633,164.5518567610858
rxn01484_c,164.55185676108633,164.55185676108545
rxn02199_c,164.55185676108633,164.55185676108545
rxn05389_c,8.893219456405046e-13,1.3010154535091208e-13
rxn08901_c,164.55185676108636,164.5518567610852
rxn00679_c,164.55185676108636,164.55185676108547
EX_cpd00054_e,164.55185676108633,164.55185676108493
rxn01572_c,164.55185676108633,164.55185676108493
rxn00100_c,164.55185676108633,164.55185676108493
rxn03366_c,164.55185676108633,164.55185676108493
rxn12008_c,-7.577158909911944e-14,4.876984377444153e-14
EX_cpd00063_e,-4.546295345947166e-13,9.753968754888306e-14
rxn05233_c,-6.819443018920749e-13,9.753968754888306e-14
rxn06335_c,164.55185676108638,164.55185676108653
rxn09345_c,6.696267623827122e-13,5.765318656088309e-14
rxn03884_c,3.743110995517436e-12,6.163295798096493e-13
rxn03908_c,-1.071479101239491e-13,8.495904989221314e-29
rxn03236_c,164.5518567610863,164.55185676107456
rxn01332_c,-6.107478280406928e-14,-7.60940493835616e-13
rxn05344_c,164.55185676108619,164.5518567610883
rxn02212_c,6.75765953087655e-13,1.3042347497057727e-11
rxn01685_c,164.55185676108653,164.55185676108562
rxn09199_c,164.55185676108653,164.55185676108562
rxn06672_c,164.55185676108653,164.55185676108562
rxn11724_c,164.55185676108653,164.55185676108562
rxn05148_c,-1.5652404136656307e-12,3.90142981667743e-13
rxn10223_c,164.55185676108613,164.55185676108655
rxn05567_c,164.55185676108613,164.55185676108655
rxn09108_c,164.55185676108613,164.55185676108655
rxn03437_c,164.55185676108613,164.55185676108655
rxn08975_c,164.55185676108613,164.55185676108655
rxn04908_c,164.55185676108613,164.55185676108655
EX_cpd15584_e,164.55185676108613,164.55185676108655
rxn11727_c,164.55185676108613,164.55185676108655
rxn08552_c,164.55185676108613,164.55185676108655
rxn01218_c,164.55185676108613,164.55185676108655
rxn07875_c,164.55185676108613,164.55185676108655
rxn03842_c,164.55185676108613,164.55185676108655
rxn09209_c,164.55185676108613,164.55185676108655
rxn05452_c,1.310477432204265e-13,-1.8402308131140647e-13
rxn11749_c,164.55185676108798,164.55185676108613
rxn01069_c,164.55185676108553,164.55185676108627
rxn09205_c,164.55185676108553,164.55185676108627
rxn00048_c,5.901936536487164e-14,1.0648486997086088e-12
rxn10203_c,164.5518567610087,164.5518567610862
rxn01453_c,164.5518567610087,164.5518567610862
rxn02406_c,164.5518567610087,164.5518567610862
rxn00851_c,4.2422070994515634e-14,-3.733543858084646e-13
rxn12638_c,164.55185676108752,164.55185676108687
rxn03638_c,164.55185676108752,164.5518567610867
rxn03005_c,164.55185676108752,164.5518567610867
EX_cpd00064_e,164.55185676108587,164.55185676108619
rxn08618_c,3.4975879959806826e-13,2.4332813240770784e-13
rxn14090_c,164.5518567610863,164.5518567603405
rxn05516_c,164.5518567610863,164.55185676033878
rxn12013_c,164.5518567610863,164.55185676033878
rxn30666_c,164.5518567610863,164.55185676033878
rxn03012_c,164.5518567610863,164.55185676033878
rxn07883_c,164.5518567610863,164.55185676033878
rxn08307_c,164.5518567610863,164.55185676033878
rxn05613_c,164.5518567610863,164.55185676033878
rxn01673_c,-4.203005139353042e-14,1.9625459267767751e-13
rxn00883_c,164.5518567610851,164.55185676108624
rxn03909_c,-2.765943244118828e-13,1.7805819648783157e-12
rxn11721_c,164.55185676108664,164.5518567610862
rxn04841_c,164.55185676108664,164.5518567610862
rxn01334_c,164.55185676108664,164.5518567610862
rxn02737_c,164.55185676108664,164.5518567610862
rxn11723_c,164.55185676108664,164.5518567610862
rxn06937_c,164.55185676108664,164.5518567610862
rxn10181_c,164.50395984736986,164.43216673493637
rxn03440_c,164.55185676108655,164.5518567610861
